"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r664","الجزائر الفرنسية","الجزائر الفرنسية","al-Jazāʾir al-Faransiyya al-ʿArabiyya","ar","fr","1898-08-26","","geon:2501152","Constantine","قسنطينة","Constantine","36.365","6.61472","T","F"
"jaraid:t1r695","الرائد المصري","الرائد المصري","al-Rāʾid al-Miṣrī","ar","NA","1898-08-31","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r702","الصادق","الصادق","al-Ṣādiq","ar","ota","1898-08-31","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r703","الصديق","الصديق","al-Ṣadīq","ar","NA","1898-09-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r683","مظلة داوود","مظلة داوود","Maẓallat Dāwūd","ar","NA","1898-09-10","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r698","السعادة","السعادة","al-Saʿāda","ar","NA","1898-09-13","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r651","الضياء","الضياء","al-Ḍiyāʾ","ar","NA","1898-09-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","T"
"jaraid:t1r677","المنار","المنار","al-Manār","ar","NA","1898-09-17","","geon:173576","Latakia","اللاذقية","Latakia","35.51484","35.77684","T","F"
"jaraid:t1r674","مجلة الجمعية الطبية المصرية","مجلة الجمعية الطبية المصرية","Majallat al-Jamʿiyya al-Ṭibbiyya al-Miṣriyya","ar","NA","1898-10-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r690","النصيب","النصيب","al-Naṣīb","ar","NA","1898-10-30","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r706","الشهباء","الشهباء","al-Shahbāʾ","ar","NA","1898-11-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r682","الموسوعات","الموسوعات","al-Mawsūʿāt","ar","NA","1898-11-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r685","المرصاد","المرصاد","al-Mirṣād","ar","NA","1898-11-15","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r641","العالم","العالم","al-ʿĀlam","ar","NA","1898-11-25","","geon:5128581","New York City","نيويورك","New York City","40.71427","-74.00597","F","F"
